,BRITISH_COLUMBIA,CITY_OF_SURREY,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY_INCLUDING_CITY_CENTRE
"    No certificate, diploma or degree",302615,36615,1645,2640,4800,4395,11935,3420,7780,9415
    High school diploma or equivalent,533735,59390,2755,7200,7760,7130,17060,8430,9050,11810
"    Postsecondary certificate, diploma or degree",1035045,94720,4790,11925,11765,12750,23860,17990,11640,16430
      Apprenticeship or trades certificate or diploma,125210,10465,620,1400,1255,1425,2745,1620,1390,2010
"      College, CEGEP or other non-university certificate or diploma",367540,33595,1765,4860,3910,4015,7960,6515,4565,6325
      University certificate or diploma below bachelor level,121250,14160,665,1590,1920,2050,3585,2365,1985,2650
"      University certificate, diploma or degree at bachelor level or above",421050,36505,1745,4075,4680,5250,9575,7480,3695,5445
        Bachelor's degree,275625,23665,1135,2815,3110,3755,5945,4575,2320,3455
"        University certificate, diploma or degree above bachelor level",145425,12845,610,1255,1560,1500,3630,2905,1375,1985
"Total population aged 25 to 64 years by highest certificate, diploma or degree",2451615,256935,13540,31180,31965,32615,72680,35245,39710,53245
"  No certificate, diploma or degree",247390,32700,2000,2315,4000,3705,11010,1550,8125,10125
  High school diploma or equivalent,614590,73760,3660,9025,9380,7985,22940,8055,12705,16365
"  Postsecondary certificate, diploma or degree",1589635,150470,7875,19845,18585,20930,38725,25635,18880,26755
    Apprenticeship or trades certificate or diploma,277125,23625,1430,3975,2605,3215,5750,2845,3810,5240
"    College, CEGEP or other non-university certificate or diploma",488905,46145,2395,7035,5440,5735,11355,7875,6310,8700
    University certificate or diploma below bachelor level,155480,19720,835,2335,2715,3055,5310,2715,2755,3590
"    University certificate, diploma or degree at bachelor level or above",668130,60975,3215,6500,7825,8920,16315,12195,6005,9220
      Bachelor's degree,424720,38370,2155,4325,5130,5925,9840,7295,3710,5865
"      University certificate, diploma or degree above bachelor level",243405,22600,1060,2175,2695,2990,6475,4910,2300,3355
"  Males aged 25 to 64 years by highest certificate, diploma or degree",1189460,125530,7170,15090,15475,16030,35330,16350,20090,27260
"    No certificate, diploma or degree",132000,16375,1165,1225,1940,1835,5370,795,4050,5215
    High school diploma or equivalent,293735,36030,1935,4260,4495,3975,11015,3540,6810,8745
"    Postsecondary certificate, diploma or degree",763725,73125,4075,9605,9040,10215,18950,12015,9220,13300
      Apprenticeship or trades certificate or diploma,186985,15785,1005,2810,1675,2130,3650,1910,2610,3620
"      College, CEGEP or other non-university certificate or diploma",202165,19510,1070,2995,2425,2390,4860,3160,2610,3680
      University certificate or diploma below bachelor level,65045,8855,375,1055,1260,1360,2575,1080,1155,1530
"      University certificate, diploma or degree at bachelor level or above",309530,28975,1620,2745,3680,4340,7865,5870,2845,4470
        Bachelor's degree,192435,18055,1120,1770,2435,2740,4760,3445,1785,2905
"        University certificate, diploma or degree above bachelor level",117095,10920,505,980,1250,1595,3110,2425,1065,1565
"  Females aged 25 to 64 years by highest certificate, diploma or degree",1262150,131400,6370,16090,16495,16580,37350,18895,19620,25990
"    No certificate, diploma or degree",115395,16325,840,1085,2060,1865,5645,755,4075,4910
    High school diploma or equivalent,320850,37725,1730,4765,4890,4005,11925,4515,5895,7620
"    Postsecondary certificate, diploma or degree",825910,77350,3800,10235,9545,10710,19785,13620,9655,13455
      Apprenticeship or trades certificate or diploma,90135,7840,420,1160,930,1085,2100,940,1200,1620
"      College, CEGEP or other non-university certificate or diploma",286735,26635,1325,4040,3010,3345,6495,4720,3695,5020
      University certificate or diploma below bachelor level,90435,10865,460,1285,1460,1700,2735,1635,1600,2055
"      University certificate, diploma or degree at bachelor level or above",358600,32005,1595,3755,4145,4580,8455,6325,3160,4755
        Bachelor's degree,232285,20320,1035,2555,2690,3185,5080,3850,1920,2960
"        University certificate, diploma or degree above bachelor level",126315,11685,560,1195,1455,1395,3370,2475,1235,1795
Total population aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,3646840,374310,18815,42550,47455,47700,103820,56760,57205,76020
"  No postsecondary certificate, diploma or degree",1617055,187575,9065,19095,24405,22415,56645,21730,34230,43295
  Education,149980,12885,430,1790,1520,1555,2785,3460,1345,1775
"  Visual and performing arts, and communications technologies",89230,6075,295,760,740,900,1195,1410,770,1075
  Humanities,120340,14450,515,1350,1675,1805,4965,2080,2065,2575
  Social and behavioural sciences and law,209655,17205,1000,2160,1900,2250,4325,3675,1885,2890
"  Business, management and public administration",412335,39830,1935,5295,5030,5030,9800,8550,4190,6125
  Physical and life sciences and technologies,79980,7200,380,620,825,980,2025,1375,995,1375
"  Mathematics, computer and information sciences",72700,7890,650,675,970,1415,2005,1125,1055,1705
"  Architecture, engineering, and related technologies",421115,39745,2225,5425,5120,5795,9620,5990,5565,7785
"  Agriculture, natural resources and conservation",49275,2500,70,310,270,355,610,650,240,310
  Health and related fields,308880,29555,1690,3600,4005,3715,7705,5195,3650,5335
"  Personal, protective and transportation services",116020,9385,550,1475,1000,1490,2140,1515,1225,1780
  Other fields of study,270,0,0,0,0,0,0,0,0,0
  Males aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,1775445,183585,9630,20775,23130,23425,50965,26925,28730,38365
"    No postsecondary certificate, diploma or degree",780705,91570,4665,9250,11845,10890,27645,9880,17400,22070
    Education,38300,2955,80,400,315,375,560,920,310,390
"    Visual and performing arts, and communications technologies",41540,2915,175,460,335,355,600,595,400,570
    Humanities,48440,5675,185,585,635,810,1915,790,765,950
    Social and behavioural sciences and law,76460,6180,465,680,590,820,1510,1470,650,1120
"    Business, management and public administration",159060,17055,765,2060,2225,2020,4435,4015,1540,2310
    Physical and life sciences and technologies,43355,3650,215,255,425,465,1115,750,425,635
"    Mathematics, computer and information sciences",45275,5005,445,455,610,810,1300,735,655,1095
"    Architecture, engineering, and related technologies",387360,36750,2000,5060,4755,5240,8945,5545,5200,7200
"    Agriculture, natural resources and conservation",32455,1510,40,195,180,180,375,400,140,175
    Health and related fields,60985,5755,340,620,765,730,1590,1045,675,1010
"    Personal, protective and transportation services",61450,4555,255,765,460,735,985,775,580,835
    Other fields of study,65,0,0,0,0,0,0,0,0,0
  Females aged 15 years and over by major field of study - Classification of Instructional Programs (CIP) 2011,1871395,190725,9195,21775,24330,24275,52855,29835,28470,37655
"    No postsecondary certificate, diploma or degree",836350,96005,4400,9845,12565,11525,28995,11850,16830,21230
    Education,111675,9925,355,1390,1205,1185,2225,2535,1030,1385
"    Visual and performing arts, and communications technologies",47690,3155,130,300,400,545,595,820,370,495
    Humanities,71900,8775,330,770,1045,995,3055,1295,1300,1625
    Social and behavioural sciences and law,133200,11030,540,1485,1315,1430,2820,2210,1235,1775
"    Business, management and public administration",253270,22770,1170,3235,2805,3010,5365,4540,2645,3815
    Physical and life sciences and technologies,36625,3550,170,365,400,515,915,625,570,735
"    Mathematics, computer and information sciences",27435,2880,205,220,360,600,700,390,405,610
"    Architecture, engineering, and related technologies",33755,3000,220,370,365,555,680,445,365,585
"    Agriculture, natural resources and conservation",16820,990,30,115,85,170,235,250,100,135
    Health and related fields,247895,23795,1350,2980,3240,2980,6115,4155,2975,4325
"    Personal, protective and transportation services",54575,4835,295,705,540,755,1155,735,645,940
    Other fields of study,200,0,0,0,0,0,0,0,0,0
Total population aged 15 years and over by location of study compared with province or territory of residence,3646840,374310,18820,42545,47460,47700,103820,56765,57200,76020
"  No postsecondary certificate, diploma or degree",1617055,187580,9065,19095,24405,22415,56640,21730,34230,43295
"  With postsecondary certificate, diploma or degree",2029785,186735,9750,23455,23050,25290,47175,35035,22970,32725
    Location of study inside Canada,1570340,126990,6275,19810,14655,15485,28985,27025,14755,21030
      Same as province or territory of residence,1205290,106845,5180,16725,12655,13305,25830,19920,13230,18410
      Another province or territory,365045,20145,1095,3085,1995,2185,3155,7105,1525,2620
    Location of study outside Canada,459445,59745,3480,3645,8400,9805,18190,8005,8215,11695
  Males aged 15 years and over by location of study compared with province or territory of residence,1775440,183585,9625,20780,23130,23425,50965,26925,28735,38360
"    No postsecondary certificate, diploma or degree",780700,91570,4665,9250,11845,10885,27645,9880,17400,22065
"    With postsecondary certificate, diploma or degree",994740,92015,4960,11530,11285,12540,23320,17045,11330,16290
      Location of study inside Canada,768770,62010,3185,9645,7160,7645,14060,13040,7270,10460
        Same as province or territory of residence,582615,51550,2575,8075,6060,6425,12405,9535,6480,9055
        Another province or territory,186160,10465,615,1575,1105,1220,1650,3510,785,1400
      Location of study outside Canada,225970,30000,1770,1880,4125,4895,9255,4005,4065,5835
  Females aged 15 years and over by location of study compared with province or territory of residence,1871395,190725,9190,21770,24330,24275,52855,29835,28470,37660
"    No postsecondary certificate, diploma or degree",836350,96005,4395,9845,12560,11525,28995,11850,16835,21230
"    With postsecondary certificate, diploma or degree",1035050,94720,4790,11930,11765,12745,23860,17985,11640,16430
      Location of study inside Canada,801565,64980,3085,10160,7490,7840,14930,13990,7485,10570
        Same as province or territory of residence,622685,55295,2605,8655,6595,6880,13420,10395,6745,9350
        Another province or territory,178890,9680,480,1505,895,955,1505,3595,740,1220
      Location of study outside Canada,233480,29745,1705,1765,4270,4910,8935,4000,4155,5860
Total population aged 15 years and over by language used most often at work ,2529750,260185,12840,33715,33315,33155,72175,36760,38230,51070
  Single responses ,2499160,254235,12615,33505,32515,32505,69740,36490,36865,49480
    English,2416845,238430,11975,32880,30585,30795,63465,35420,33310,45280
    French ,5395,280,55,15,0,0,80,65,50,105
    Non-official languages ,76920,15530,590,610,1920,1705,6195,1000,3505,4095
"      Chinese, n.o.s. ",16960,1010,90,75,110,275,100,265,95,180
      Cantonese ,15175,330,55,55,50,55,45,15,55,110
      Panjabi (Punjabi) ,17440,10015,125,180,970,135,5505,125,2980,3105
      Mandarin ,10905,1400,65,55,180,450,185,415,55,115
      Spanish,1245,240,60,0,0,0,20,35,100,160
      Korean ,5350,1095,90,145,280,485,0,70,0,100
      German,650,0,0,0,0,0,0,0,0,0
      Cree languages ,0,0,0,0,0,0,0,0,0,0
      Portuguese ,240,0,0,0,0,0,0,0,0,0
      Inuktitut ,0,0,0,0,0,0,0,0,0,0
      Other languages ,8945,1415,110,90,330,285,315,75,210,310
  Multiple responses ,30595,5945,225,210,800,650,2430,270,1365,1590
    English and French ,3060,205,0,20,0,25,70,70,15,20
    English and non-official language ,27100,5700,220,185,785,620,2345,195,1350,1570
    French and non-official language ,40,0,0,0,0,0,0,0,0,0
"    English, French and non-official language",390,30,0,0,0,0,15,0,0,0
  Males aged 15 years and over by language used most often at work,1303270,136845,6975,17335,17400,17180,38360,18910,20690,27670
    Single responses ,1288355,133730,6880,17245,16935,16870,37115,18795,19880,26755
      English,1246930,125030,6555,16960,15960,15925,33525,18185,17910,24465
      French,1550,85,0,0,0,0,25,25,0,30
      Non-official languages ,39880,8610,305,280,975,940,3560,585,1965,2265
"        Chinese, n.o.s. ",8850,570,50,30,45,185,50,160,50,100
        Cantonese,7670,160,0,20,30,30,25,0,45,50
        Panjabi (Punjabi) ,9370,5730,90,90,475,60,3250,105,1665,1750
        Mandarin,5925,770,15,25,90,280,90,235,30,40
        Spanish,675,145,45,0,0,0,0,15,75,120
        Korean,2890,640,55,75,175,275,0,30,0,75
        German ,365,0,0,0,0,0,0,0,0,0
        Cree languages ,0,0,0,0,0,0,0,0,0,0
        Portuguese ,80,0,0,0,0,0,0,0,0,0
        Inuktitut ,0,0,0,0,0,0,0,0,0,0
        Other languages ,4050,590,40,35,155,100,120,50,90,130
    Multiple responses ,14910,3120,105,90,470,305,1240,110,810,910
      English and French ,1295,55,0,0,0,15,15,0,0,0
      English and non-official language ,13395,3045,95,90,455,285,1215,95,805,905
      French and non-official language ,35,0,0,0,0,0,0,0,0,0
"      English, French and non-official language ",180,20,0,0,0,0,0,0,0,0
  Females aged 15 years and over by language used most often at work,1226485,123340,5865,16380,15915,15975,33815,17850,17540,23400
    Single responses ,1210800,120510,5735,16260,15580,15630,32630,17690,16985,22720
      English ,1169915,113400,5420,15920,14625,14865,29940,17230,15400,20820
      French ,3845,195,0,0,0,0,55,40,40,70
      Non-official languages ,37040,6920,290,330,950,765,2630,420,1545,1830
"        Chinese, n.o.s. ",8110,440,35,45,65,90,45,110,40,80
        Cantonese ,7500,170,0,30,20,25,20,0,0,65
        Panjabi (Punjabi) ,8070,4285,45,90,495,75,2245,0,1315,1355
        Mandarin,4985,635,55,30,90,175,90,175,25,75
        Spanish ,570,85,0,0,0,0,15,20,0,40
        Korean,2455,455,30,70,105,210,0,40,0,35
        German,280,0,0,0,0,0,0,0,0,0
        Cree languages,0,0,0,0,0,0,0,0,0,0
        Portuguese ,160,0,0,0,0,0,0,0,0,0
        Inuktitut ,0,0,0,0,0,0,0,0,0,0
        Other languages ,4895,825,65,55,175,185,190,30,120,185
    Multiple responses ,15685,2825,125,120,335,345,1190,155,560,685
      English and French ,1770,155,0,20,0,0,55,50,15,15
      English and non-official language ,13705,2660,120,95,325,330,1130,105,545,665
      French and non-official language,0,0,0,0,0,0,0,0,0,0
"      English, French and non-official language ",205,10,0,0,0,0,0,0,0,0
Total population aged 15 years and over by language used most often at work ,2529750,260185,12840,33715,33315,33150,72175,36760,38230,51070
  English ,2416850,238430,11970,32885,30585,30795,63465,35420,33310,45280
  French ,5390,280,50,15,0,0,80,65,50,105
  Non-official language,76920,15525,590,610,1920,1705,6195,1005,3505,4095
    Aboriginal ,180,0,0,0,0,0,0,0,0,0
    Non-Aboriginal  ,76735,15530,590,610,1925,1705,6190,1000,3505,4095
  English and French ,3060,205,0,20,0,25,70,70,15,20
  English and non-official language ,27100,5700,220,190,785,615,2345,200,1345,1570
  French and non-official language ,40,0,0,0,0,0,0,0,0,0
"  English, French and non-official language ",395,25,0,0,0,0,15,0,0,0
  Males aged 15 years and over by language used most often at work,1303265,136845,6980,17335,17400,17175,38360,18905,20690,27670
    English ,1246925,125030,6550,16960,15960,15930,33530,18190,17910,24465
    French,1550,85,0,0,0,0,25,25,0,30
    Non-official language ,39880,8610,305,280,975,940,3565,585,1960,2265
      Aboriginal ,55,0,0,0,0,0,0,0,0,0
      Non-Aboriginal ,39830,8610,305,285,975,940,3560,590,1960,2265
    English and French ,1295,55,0,0,0,15,20,0,0,0
    English and non-official language ,13395,3040,95,85,455,285,1215,90,805,900
    French and non-official language ,35,0,0,0,0,0,0,0,0,0
"    English, French and non-official language ",185,20,0,0,0,0,0,0,0,0
  Females aged 15 years and over by language used most often at work,1226485,123335,5860,16380,15915,15975,33815,17845,17540,23405
    English ,1169920,113400,5420,15920,14625,14865,29940,17230,15395,20820
    French ,3840,195,0,0,0,0,55,40,40,70
    Non-official language ,37035,6915,285,325,945,765,2630,415,1545,1830
      Aboriginal ,125,0,0,0,0,0,0,0,0,0
      Non-Aboriginal ,36910,6915,290,330,945,765,2630,415,1540,1830
    English and French ,1765,155,0,20,0,0,50,50,15,15
    English and non-official language,13705,2660,125,100,325,330,1130,105,545,665
    French and non-official language ,0,0,0,0,0,0,0,0,0,0
"    English, French and non-official language",210,10,0,0,0,0,0,0,0,0
Total population aged 15 years and over by labour force status ,3646840,374310,18820,42550,47460,47705,103820,56760,57205,76020
  In the labour force ,2354245,245640,12315,31925,31545,31145,68700,33715,36300,48615
    Employed ,2171470,226150,11105,30210,29210,28385,62595,31810,32840,43945
    Unemployed,182775,19495,1210,1720,2340,2760,6105,1895,3460,4670
  Not in the labour force,1292595,128670,6500,10625,15915,16555,35120,23050,20900,27405
Participation rate,64.6,65.6,65.4,75,66.5,65.3,66.2,59.4,63.5,64
Employment rate ,59.5,60.4,59,71,61.5,59.5,60.3,56,57.4,57.8
Unemployment rate ,7.8,7.9,9.8,5.4,7.4,8.9,8.9,5.6,9.5,9.6
  Males aged 15 years and over by labour force status,1775440,183585,9630,20775,23130,23430,50965,26925,28730,38365
    In the labour force,1223375,130535,6810,16550,16670,16225,36930,17515,19835,26650
      Employed,1124590,120895,6180,15655,15395,14915,34055,16535,18165,24345
      Unemployed,98780,9640,635,895,1275,1305,2875,980,1670,2305
    Not in the labour force,552070,53050,2810,4230,6465,7205,14035,9410,8900,11715
  Participation rate,68.9,71.1,70.7,79.7,72.1,69.2,72.5,65.1,69,69.5
  Employment rate,63.3,65.9,64.2,75.4,66.6,63.7,66.8,61.4,63.2,63.5
  Unemployment rate,8.1,7.4,9.3,5.4,7.6,8,7.8,5.6,8.4,8.6
  Females aged 15 years and over by labour force status,1871395,190725,9190,21775,24330,24270,52855,29835,28470,37660
    In the labour force,1130875,115110,5500,15375,14875,14925,31765,16195,16465,21965
      Employed,1046880,105255,4920,14555,13810,13470,28535,15280,14670,19595
      Unemployed,83995,9850,580,820,1065,1450,3230,915,1790,2370
    Not in the labour force,740525,75615,3685,6395,9455,9350,21085,13640,12000,15690
  Participation rate,60.4,60.4,59.8,70.6,61.1,61.5,60.1,54.3,57.8,58.3
  Employment rate,55.9,55.2,53.5,66.8,56.8,55.5,54,51.2,51.5,52
  Unemployment rate,7.4,8.6,10.5,5.3,7.2,9.7,10.2,5.6,10.9,10.8
Total labour force aged 15 years and over by class of worker ,2354245,245640,12315,31925,31545,31145,68700,33710,36300,48615
  Class of worker - not applicable,48930,6170,450,490,700,875,1955,585,1115,1565
  All classes of worker ,2305315,239470,11865,31435,30845,30270,66740,33130,35185,47055
    Employee,1996990,213380,11180,28010,27965,26895,60155,27315,31865,43045
    Self-employed ,308325,26090,690,3430,2880,3380,6590,5815,3315,4005
  Male labour force aged 15 years and over by class of worker,1223370,130535,6815,16550,16670,16225,36925,17515,19835,26645
    Class of worker - not applicable,23625,2715,205,240,360,360,845,255,450,655
    All classes of worker ,1199745,127825,6605,16310,16310,15860,36085,17260,19385,25990
      Employee ,1006460,110445,6185,14350,14325,13745,31340,13560,16940,23120
      Self-employed ,193285,17375,425,1960,1985,2115,4745,3700,2450,2865
  Female labour force aged 15 years and over by class of worker,1130870,115105,5500,15375,14875,14925,31770,16195,16470,21965
    Class of worker - not applicable ,25305,3455,240,250,335,515,1115,335,665,905
    All classes of worker,1105570,111650,5255,15120,14540,14405,30655,15870,15800,21060
      Employee ,990530,102935,4990,13655,13645,13150,28815,13760,14930,19920
      Self-employed ,115040,8710,265,1470,895,1260,1840,2110,870,1135
Total labour force population aged 15 years and over by occupation - National Occupational Classification (NOC) 2011 ,2354245,245645,12315,31925,31545,31145,68700,33715,36300,48615
  Occupation - not applicable ,48930,6170,450,490,695,880,1955,585,1115,1560
  All occupations ,2305315,239470,11870,31435,30845,30270,66740,33130,35185,47055
    0 Management occupations ,263685,25060,905,4315,2820,2905,6065,5650,2410,3315
"    1 Business, finance and administration occupations ",368980,38430,1945,5825,4920,5145,10245,5910,4435,6380
    2 Natural and applied sciences and related occupations,154050,12560,620,1585,1730,2070,2975,2395,1190,1805
    3 Health occupations,147615,14395,740,1715,2145,1845,3885,2215,1855,2595
"    4 Occupations in education, law and social, community and government services",265910,22495,940,3825,2870,3020,5140,4455,2245,3190
"    5 Occupations in art, culture, recreation and sport ",78570,5150,230,890,485,675,1160,1250,460,690
    6 Sales and service occupations,554350,59590,3335,6510,7810,7890,17210,6985,9855,13185
"    7 Trades, transport and equipment operators and related occupations",337140,44130,2270,5180,5680,4885,14065,3165,8890,11160
"    8 Natural resources, agriculture and related production occupations ",60295,5610,190,600,715,330,1795,600,1375,1570
    9 Occupations in manufacturing and utilities ,74720,12060,685,990,1680,1515,4210,505,2475,3160
  Male labour force aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,1223375,130535,6815,16555,16670,16225,36925,17515,19835,26645
    Occupation - not applicable,23625,2710,205,240,360,365,845,250,450,655
    All occupations,1199750,127820,6610,16315,16310,15860,36085,17260,19385,25995
      0 Management occupations ,162365,16070,460,2830,1760,1790,3865,3890,1485,1945
"      1 Business, finance and administration occupations",104290,11895,840,1540,1515,1520,3290,1855,1340,2180
      2 Natural and applied sciences and related occupations ,122570,10320,455,1270,1400,1720,2470,2050,950,1410
      3 Health occupations,32490,2515,150,225,350,365,640,505,285,435
"      4 Occupations in education, law and social, community and government services ",89645,7190,310,1400,780,945,1500,1615,640,945
"      5 Occupations in art, culture, recreation and sport",38300,2430,130,365,250,345,580,505,255,385
      6 Sales and service occupations,233065,25140,1530,2650,3435,3390,7195,3020,3915,5445
"      7 Trades, transport and equipment operators and related occupations ",317390,41525,2080,4925,5360,4550,13385,2995,8230,10310
"      8 Natural resources, agriculture and related production occupations",45160,3070,135,420,375,225,740,435,735,870
      9 Occupations in manufacturing and utilities,54475,7660,520,685,1080,1020,2415,390,1550,2070
  Female labour force aged 15 years and over by occupation - National Occupational Classification (NOC) 2011,1130870,115110,5500,15375,14875,14925,31770,16200,16465,21965
    Occupation - not applicable,25300,3460,240,250,340,515,1115,335,665,905
    All occupations,1105570,111650,5260,15125,14535,14410,30660,15870,15800,21060
      0 Management occupations,101315,8985,450,1485,1055,1115,2200,1755,925,1375
"      1 Business, finance and administration occupations",264695,26530,1110,4285,3410,3625,6955,4060,3090,4195
      2 Natural and applied sciences and related occupations,31480,2235,160,310,335,350,500,345,240,400
      3 Health occupations,115130,11875,595,1490,1790,1480,3240,1715,1570,2160
"      4 Occupations in education, law and social, community and government services ",176265,15305,635,2425,2090,2075,3635,2840,1610,2245
"      5 Occupations in art, culture, recreation and sport",40270,2710,105,525,230,335,580,745,205,305
      6 Sales and service occupations,321280,34455,1800,3855,4375,4505,10020,3960,5940,7745
"      7 Trades, transport and equipment operators and related occupations ",19750,2605,190,255,315,330,685,170,660,845
"      8 Natural resources, agriculture and related production occupations",15135,2540,55,180,335,100,1055,170,645,700
      9 Occupations in manufacturing and utilities,20245,4405,165,310,600,495,1790,115,925,1090
Total labour force population aged 15 years and over by industry - North American Industry Classification System (NAICS) 2007 ,2354245,245645,12315,31925,31545,31145,68700,33715,36300,48615
  Industry - not applicable ,48930,6170,450,495,700,875,1955,590,1115,1565
  All industries ,2305315,239470,11870,31435,30845,30270,66740,33125,35185,47055
"    11 Agriculture, forestry, fishing and hunting ",61215,5235,130,460,670,280,1900,585,1210,1335
"    21 Mining, quarrying, and oil and gas extraction",25450,565,35,115,50,55,120,110,70,110
    22 Utilities ,13215,1190,85,260,240,130,160,205,110,195
    23 Construction ,181510,21680,1105,3140,2645,2350,5940,2645,3865,4970
    31-33 Manufacturing ,148810,22260,1220,2730,2850,2810,6775,2050,3835,5050
    41 Wholesale trade,90555,12295,520,1860,1690,1710,3370,1705,1440,1960
    44-45 Retail trade,266265,28050,1345,3940,3760,3995,7590,3370,4065,5400
    48-49 Transportation and warehousing ,118670,19950,945,2115,2230,1965,7200,1870,3620,4570
    51 Information and cultural industries,62230,5065,395,590,625,805,1325,705,620,1015
    52 Finance and insurance,91790,9555,415,1545,1155,1075,2660,1705,995,1410
    53 Real estate and rental and leasing ,54845,4895,220,620,670,660,1110,1110,505,730
"    54 Professional, scientific and technical services ",179350,14535,825,1885,1850,1995,3400,3255,1315,2145
    55 Management of companies and enterprises ,2440,240,0,30,25,25,65,70,0,20
"    56 Administrative and support, waste management and remediation services ",98890,12275,825,990,1320,1425,3950,1205,2550,3380
    61 Educational services,167870,13865,470,2305,1720,1940,2965,3020,1435,1900
    62 Health care and social assistance,249030,23500,1290,2625,3360,3275,6405,3355,3195,4485
"    71 Arts, entertainment and recreation ",56920,4265,165,765,550,435,935,895,525,685
    72 Accommodation and food services ,179625,16130,1000,1540,2290,2120,4625,1850,2700,3700
    81 Other services (except public administration) ,112745,12295,505,1680,1630,1855,3355,1415,1860,2365
    91 Public administration ,143875,11615,385,2250,1505,1355,2885,1995,1250,1630
  Male labour force aged 15 years and over by industry - North American Industry Classification System (NAICS) 2007,1223375,130535,6810,16550,16670,16225,36930,17515,19835,26645
    Industry - not applicable ,23625,2710,205,240,360,365,845,255,450,655
    All industries,1199745,127820,6610,16310,16310,15860,36085,17260,19385,25990
"      11 Agriculture, forestry, fishing and hunting ",40810,2380,70,265,280,170,725,400,460,530
"      21 Mining, quarrying, and oil and gas extraction ",21175,420,25,90,45,30,50,100,70,100
      22 Utilities,9655,790,40,170,150,80,135,150,70,105
      23 Construction ,159605,19210,985,2810,2405,2020,5240,2250,3500,4485
      31-33 Manufacturing ,108480,15605,880,1975,2030,2010,4480,1550,2695,3570
      41 Wholesale trade,61730,8470,355,1325,1190,1130,2335,1225,905,1260
      44-45 Retail trade ,121755,13275,645,2020,1780,1820,3545,1620,1845,2495
      48-49 Transportation and warehousing ,89150,15725,720,1565,1755,1450,5940,1370,2930,3650
      51 Information and cultural industries ,37255,3170,270,300,350,370,920,505,450,720
      52 Finance and insurance ,35375,3745,145,505,520,415,1130,665,360,505
      53 Real estate and rental and leasing,29790,2715,110,270,415,370,705,575,285,390
"      54 Professional, scientific and technical services",98760,7940,460,915,960,1165,1975,1865,600,1065
      55 Management of companies and enterprises ,1320,165,0,20,0,0,50,40,0,20
"      56 Administrative and support, waste management and remediation services ",55745,7175,540,460,840,860,2345,595,1530,2070
      61 Educational services ,55635,4100,125,585,490,645,860,840,550,675
      62 Health care and social assistance ,47025,3860,280,295,600,665,835,650,530,810
"      71 Arts, entertainment and recreation ",29750,2175,65,420,280,255,435,460,265,330
      72 Accommodation and food services ,73570,5590,490,540,735,880,1415,770,750,1245
      81 Other services (except public administration),49130,5640,200,635,730,875,1635,540,1025,1220
      91 Public administration,74040,5665,190,1150,730,630,1310,1075,575,765
 Female labour force aged 15 years and over by industry - North American Industry Classification System (NAICS) 2007,1130870,115110,5500,15375,14875,14920,31770,16200,16465,21965
    Industry - not applicable ,25305,3460,240,250,340,510,1115,335,665,910
    All industries ,1105570,111650,5260,15120,14540,14410,30655,15865,15800,21055
"      11 Agriculture, forestry, fishing and hunting ",20405,2860,55,195,390,110,1175,185,750,805
"      21 Mining, quarrying, and oil and gas extraction ",4275,145,0,25,0,20,65,15,0,15
      22 Utilities ,3565,395,45,95,85,55,25,55,45,90
      23 Construction,21910,2475,120,330,235,330,705,390,365,485
      31-33 Manufacturing ,40330,6650,335,750,825,800,2290,500,1145,1480
      41 Wholesale trade ,28825,3830,160,530,500,580,1035,480,540,700
      44-45 Retail trade ,144515,14780,690,1925,1980,2175,4045,1745,2220,2915
      48-49 Transportation and warehousing ,29520,4220,220,550,470,520,1260,505,695,915
      51 Information and cultural industries ,24980,1900,125,285,275,430,405,200,175,300
      52 Finance and insurance ,56415,5805,265,1040,635,660,1530,1035,635,905
      53 Real estate and rental and leasing ,25055,2180,115,350,260,295,405,535,220,340
"      54 Professional, scientific and technical services ",80595,6595,360,975,890,830,1430,1390,720,1080
      55 Management of companies and enterprises ,1120,75,0,0,0,10,0,35,0,0
"      56 Administrative and support, waste management and remediation services ",43145,5095,285,535,480,565,1600,615,1025,1310
      61 Educational services,112240,9765,340,1715,1235,1300,2105,2180,885,1230
      62 Health care and social assistance,202005,19640,1010,2330,2760,2610,5570,2705,2665,3670
"      71 Arts, entertainment and recreation ",27170,2085,100,345,275,180,500,435,255,355
      72 Accommodation and food services ,106050,10535,510,995,1555,1240,3205,1080,1950,2460
      81 Other services (except public administration) ,63615,6660,305,1045,900,980,1720,880,840,1140
      91 Public administration ,69835,5950,195,1095,775,725,1580,915,670,865
Total labour force aged 15 years and over by work activity in 2010 ,2354245,245640,12315,31925,31545,31145,68700,33715,36300,48615
  Did not work in 2010 ,124235,15205,940,1075,2085,1965,4920,1520,2695,3640
  Worked in 2010 ,2230005,230440,11370,30845,29460,29185,63775,32195,33605,44975
    1 to 13 weeks ,124680,12445,700,1220,1520,1790,3725,1530,1965,2665
    14 to 26 weeks ,189705,18660,1060,1835,2185,2785,5415,2550,2830,3885
    27 to 39 weeks,158725,14525,745,1800,1840,1720,3945,1890,2590,3330
