,CITY_CENTRE,CLOVERDALE,FLEETWOOD,GUILDFORD,NEWTON,SOUTH_SURREY,WHALLEY_EXCLUDING_CITY_CENTRE,WHALLEY,CITY_OF_SURREY
Participation rate,78.4,88,86.8,83.2,84.9,85,83.7,82.9,84.8
Employment rate,75.2,86.3,84.2,80.9,82.5,83.6,79.9,79.1,82.4
Unemployment rate,4.6,2,2.8,2.7,2.8,1.6,4.5,4.4,2.8
Females 15 years and over in private households - Presence of children and labour force activity,7250,15100,20700,21170,43835,26495,25745,32995,160290
  In the labour force,4470,10430,13255,13070,27430,14405,15850,20320,98910
    Employed,4125,9970,12435,12185,25170,13740,14435,18560,92055
    Unemployed,340,465,820,885,2260,660,1420,1765,6850
  Not in the labour force,2775,4665,7445,8105,16405,12095,9890,12670,61380
Participation rate,61.7,69.1,64,61.7,62.6,54.4,61.6,61.6,61.7
Employment rate,56.9,66,60.1,57.6,57.4,51.9,56.1,56.3,57.4
Unemployment rate,7.6,4.5,6.2,6.8,8.2,4.6,9,8.7,6.9
Females 15 years and over in private households with no children at home,4530,8220,10920,11430,23410,17005,13620,18145,89135
  In the labour force,2650,5195,6055,6395,12845,7660,7360,10015,48160
    Employed,2480,4980,5640,5915,11925,7230,6690,9165,44855
    Unemployed,175,215,415,480,915,430,670,845,3310
  Not in the labour force,1880,3025,4865,5040,10565,9345,6260,8135,40970
Participation rate,58.5,63.2,55.4,55.9,54.9,45,54,55.2,54
Employment rate,54.7,60.6,51.6,51.7,50.9,42.5,49.1,50.5,50.3
Unemployment rate,6.6,4.1,6.9,7.5,7.1,5.6,9.1,8.4,6.9
Females 15 years and over in private households with children at home,2715,6880,9775,9735,20425,9495,12125,14845,71155
  In the labour force,1815,5240,7200,6670,14590,6740,8490,10305,50750
    Employed,1650,4990,6795,6270,13245,6510,7745,9390,47200
    Unemployed,165,255,405,400,1345,230,750,915,3545
  Not in the labour force,895,1640,2575,3065,5840,2755,3635,4535,20405
Participation rate,66.9,76.2,73.7,68.5,71.4,71,70,69.4,71.3
Employment rate,60.8,72.5,69.5,64.4,64.8,68.6,63.9,63.3,66.3
Unemployment rate,9.1,4.9,5.6,6,9.2,3.4,8.8,8.9,7
Females 15 years and over in private households with children under 6 years only,480,1380,1430,1340,4070,1260,2275,2760,12225
  In the labour force,310,990,1005,855,2900,850,1590,1900,8500
    Employed,270,930,885,725,2480,815,1375,1645,7475
    Unemployed,45,60,120,135,420,35,215,250,1025
  Not in the labour force,165,385,425,485,1165,410,690,860,3725
Participation rate,64.6,71.7,70.3,63.8,71.3,67.5,69.9,68.8,69.5
Employment rate,56.2,67.4,61.9,54.1,60.9,64.7,60.4,59.6,61.1
Unemployment rate,14.5,6.1,11.9,15.8,14.5,4.1,13.5,13.2,12.1
Females 15 years and over in private households with children under 6 years as well as children 6 years and over,380,930,1205,1250,3010,920,1720,2100,9420
  In the labour force,270,705,880,790,2010,530,1210,1480,6395
    Employed,230,640,820,725,1825,490,1080,1315,5815
    Unemployed,40,60,60,65,185,35,130,170,580
  Not in the labour force,105,220,325,460,1000,390,515,620,3020
Participation rate,71.1,75.8,73,63.2,66.8,57.6,70.3,70.5,67.9
Employment rate,60.5,68.8,68,58,60.6,53.3,62.8,62.6,61.7
Unemployment rate,14.8,8.5,6.8,8.2,9.2,6.6,10.7,11.5,9.1
Females 15 years and over in private households with children 6 years and over only,1855,4575,7140,7150,13350,7315,8125,9980,49505
  In the labour force,1230,3545,5310,5025,9680,5360,5695,6930,35850
    Employed,1150,3415,5090,4820,8940,5205,5290,6435,33905
    Unemployed,85,130,225,205,735,160,410,490,1945
  Not in the labour force,620,1030,1825,2120,3675,1955,2430,3050,13660
Participation rate,66.3,77.5,74.4,70.3,72.5,73.3,70.1,69.4,72.4
Employment rate,62,74.6,71.3,67.4,67,71.2,65.1,64.5,68.5
Unemployment rate,6.9,3.7,4.2,4.1,7.6,3,7.2,7.1,5.4
Total persons in private households,17155,37680,50575,51645,109370,59785,65470,82625,391675
  Prevalence of low income before tax in 2005 %,32.3,10.7,16.4,24.4,18.8,9,21.6,23.8,18
  Prevalence of low income after tax in 2005 %,25,8.1,12.7,18.4,13.9,6.9,16.2,18.1,13.6
Total persons less than 6 years of age,1110,3165,3510,3445,9600,3010,5380,6490,29225
  Prevalence of low income before tax in 2005 %,45.9,9.3,20.9,34,23,11.8,27.7,30.9,23.2
  Prevalence of low income after tax in 2005 %,36,6.2,16.8,25.7,18,10.1,22,24.4,18.1
Total persons 65 years of age and over,1935,3435,5030,4780,10300,11860,6095,8030,43430
  Prevalence of low income before tax in 2005 %,39,15.9,16.6,23.5,18.4,7,19.1,23.9,16.4
  Prevalence of low income after tax in 2005 %,23.5,10.5,8.8,11.4,9.6,3,10.2,13.4,8.7
Total number of census families in private households,4475,11035,14320,14355,31240,18040,18280,22755,111755
  Size of census family: 2 persons,2330,4695,5250,5535,12545,9350,7200,9535,46905
  Size of census family: 3 persons,1035,2530,3250,3315,7050,3280,4250,5285,24705
  Size of census family: 4 persons,730,2605,4030,3775,7705,3830,4510,5235,27175
  Size of census family: 5 or more persons,380,1215,1805,1730,3945,1590,2320,2700,12975
Total number of census families in private households,4480,11035,14320,14355,31240,18045,18280,22760,111760
  Total couple families by family structure and number of children,3330,9655,12495,11965,26595,16105,15365,18690,95500
    Married couples,2630,8515,11555,10760,24690,14790,13925,16550,86860
      Without children at home,1105,3135,3750,3540,8680,7330,4665,5770,32210
      With children at home,1520,5375,7800,7220,16005,7460,9255,10780,54645
        1 child,650,1890,2450,2330,5155,2485,3095,3750,18060
        2 children,560,2385,3690,3315,7090,3500,4010,4575,24550
        3 or more children,315,1105,1660,1580,3760,1475,2150,2460,12040
    Common-law couples,695,1135,940,1200,1910,1315,1440,2135,8640
      Without children at home,505,735,450,685,1210,850,815,1320,5250
      With children at home,195,405,490,515,700,470,625,815,3390
        1 child,100,205,195,305,385,190,295,395,1685
        2 children,55,130,190,160,195,220,240,295,1180
        3 or more children,35,75,100,50,120,55,90,125,525
  Total lone-parent families by sex of parent and number of children,1155,1385,1835,2390,4645,1935,2920,4070,16260
    Female parent,995,1095,1485,1995,3705,1560,2240,3235,13080
      1 child,615,635,840,1085,2005,925,1245,1860,7345
      2 children,235,365,505,565,1295,485,695,935,4155
      3 or more children,140,100,140,340,415,150,295,440,1585
    Male parent,155,290,345,395,935,375,680,835,3175
      1 child,105,190,210,215,650,250,470,580,2095
      2 children,45,65,90,110,220,110,165,210,810
      3 or more children,0,35,45,65,70,15,40,40,275
Average number of children at home per census family,1.1,1.2,1.3,1.3,1.3,1,1.3,1.3,1.2
Average number of persons per census family,2.8,3.1,3.2,3.2,3.1,2.9,3.1,3.1,3.1
Family income in 2005 of economic families,4380,10645,13260,13790,27220,17830,16095,20465,103215
"  Under $10,000",225,190,425,535,650,360,525,750,2910
"  $10,000 to $19,999",345,255,430,810,1170,410,765,1115,4175
"  $20,000 to $29,999",510,480,770,1300,1760,960,1260,1770,7045
"  $30,000 to $39,999",605,685,1220,1395,2505,1080,1585,2195,9085
"  $40,000 to $49,999",620,825,1100,1475,2705,1285,1670,2290,9685
"  $50,000 to $59,999",440,915,1190,1360,2850,1355,1855,2300,9970
"  $60,000 to $69,999",455,880,1190,1140,2830,1290,1635,2090,9425
"  $70,000 to $79,999",340,1010,1035,960,2405,1310,1470,1815,8535
"  $80,000 to $89,999",250,935,1075,835,2020,1125,1315,1565,7560
"  $90,000 to $99,999",215,850,925,715,1900,1210,895,1110,6715
"  $100,000 and over",370,3620,3890,3255,6425,7445,3100,3475,28110
Median family income $,47396,80684,72588,60060,66663,87576,62532,59101,69119
Average family income $,53319,88940,81526,72278,76981,112723,70011,66440,82254
Standard error of average family income $,1021,1211,1007,985,745,2046,795,671,495
Family income in 2005 of couple economic families,3190,9235,11370,11265,22875,15740,13185,16375,86860
"  Under $10,000",125,140,320,335,450,245,335,460,1945
"  $10,000 to $19,999",185,105,265,475,570,255,390,570,2235
"  $20,000 to $29,999",310,345,580,935,1240,775,860,1175,5050
"  $30,000 to $39,999",380,450,940,985,1830,900,1195,1575,6680
"  $40,000 to $49,999",440,640,905,1115,2125,1040,1305,1745,7565
"  $50,000 to $59,999",370,755,1010,1095,2520,1080,1500,1870,8330
"  $60,000 to $69,999",380,795,975,990,2325,1150,1390,1770,8005
"  $70,000 to $79,999",265,895,925,860,2175,1145,1355,1615,7620
"  $80,000 to $89,999",220,865,970,750,1775,975,1185,1410,6740
"  $90,000 to $99,999",215,775,865,660,1775,1130,820,1035,6225
"  $100,000 and over",305,3460,3620,3075,6100,7045,2860,3165,26465
Median family income $,53545,85586,77752,66998,71627,92538,67322,64740,74863
Average family income $,58141,94138,85275,78292,81582,117747,74366,71205,87571
Standard error of average family income $,1224,1328,1106,1126,778,2215,874,752,550
After-tax income in 2005 of economic families,4375,10645,13260,13790,27220,17830,16090,20470,103210
"  Under $10,000",220,210,435,535,665,410,540,760,3020
"  $10,000 to $19,999",360,255,440,825,1170,435,780,1140,4265
"  $20,000 to $29,999",570,540,865,1425,2015,1090,1365,1940,7875
"  $30,000 to $39,999",835,925,1485,1730,3135,1385,1945,2785,11445
"  $40,000 to $49,999",575,1045,1330,1880,3390,1715,2240,2815,12175
"  $50,000 to $59,999",570,1190,1525,1415,3435,1725,2085,2655,11945
"  $60,000 to $69,999",435,1240,1350,1230,3075,1620,1765,2205,10720
"  $70,000 to $79,999",310,1130,1300,1010,2510,1430,1520,1830,9210
"  $80,000 and over",500,4105,4520,3750,7825,8030,3845,4345,32565
Median after-tax family income $,42751,69224,63692,53680,59280,73576,55718,52728,60809
Average after-tax family income $,47305,74528,70032,62428,66612,89427,61332,58332,69608
Standard error of average after-tax family income $,840,879,781,768,569,1337,617,525,348
After-tax income in 2005 of couple economic families,3190,9230,11375,11270,22875,15740,13185,16375,86860
"  Under $10,000",120,170,330,330,465,285,350,475,2045
"  $10,000 to $19,999",195,110,270,485,575,285,385,585,2305
"  $20,000 to $29,999",335,390,650,1000,1375,855,950,1290,5560
"  $30,000 to $39,999",555,615,1145,1245,2310,1150,1455,2015,8485
"  $40,000 to $49,999",455,830,1120,1475,2870,1365,1805,2260,9925
"  $50,000 to $59,999",455,1070,1300,1220,2940,1500,1720,2175,10210
"  $60,000 to $69,999",360,1110,1170,1095,2675,1420,1620,1980,9465
"  $70,000 to $79,999",275,1050,1175,900,2250,1270,1335,1610,8250
"  $80,000 and over",440,3885,4210,3510,7410,7605,3565,4000,30620
Median after-tax family income $,48348,72754,67648,58957,63307,77290,59593,57502,65230
Average after-tax family income $,51188,78480,73031,67252,70324,93164,64907,62235,73761
Standard error of average after-tax family income $,998,956,854,873,582,1449,673,584,384
Family income in 2005 of all economic families,4380,10640,13255,13790,27220,17830,16090,20470,103215
  Median family income $,47396,80684,72588,60060,66663,87576,62532,59101,69119
  Average family income $,53319,88940,81526,72278,76981,112723,70011,66440,82254
  Standard error of average family income $,1021,1211,1007,985,745,2046,795,671,495
  Median after-tax family income $,42751,69224,63692,53680,59280,73576,55718,52728,60809
  Average after-tax family income $,47305,74528,70032,62428,66612,89427,61332,58332,69608
  Standard error of average after-tax family income $,840,879,781,768,569,1337,617,525,348
Family income in 2005 of couple economic families,3190,9230,11375,11270,22870,15740,13185,16375,86860
  Median family income $,53545,85586,77752,66998,71627,92538,67322,64740,74863
  Average family income $,58141,94138,85275,78292,81582,117747,74366,71205,87571
  Standard error of average family income $,1224,1328,1106,1126,778,2215,874,752,550
  Median after-tax family income $,48348,72754,67648,58957,63307,77290,59593,57502,65230
  Average after-tax family income $,51188,78480,73031,67252,70324,93164,64907,62235,73761
  Standard error of average after-tax family income $,998,956,854,873,582,1449,673,584,384
Family income in 2005 of male lone-parent economic families,145,265,270,345,670,350,465,610,2510
  Median family income $,53880,51111,55544,55051,52364,73343,50232,50839,55420
  Average family income $,55763,62503,63575,61474,65730,124505,64461,62401,71953
  Standard error of average family income $,5493,4629,5040,5227,10977,20510,8039,6299,4589
  Median after-tax family income $,48263,45416,46262,47799,45119,60444,43834,45449,48434
  Average after-tax family income $,49557,54403,54955,52877,57675,91369,55789,54313,60254
  Standard error of average after-tax family income $,4886,3690,4052,3757,9158,12122,6085,4805,3312
Family income in 2005 of female lone-parent economic families,885,995,1290,1820,2985,1450,1875,2760,11305
  Median family income $,32784,42616,46135,35797,38396,48824,38421,35421,39409
  Average family income $,36476,50403,54956,40022,45219,57912,43002,40912,46525
  Standard error of average family income $,1688,2129,2323,1369,1247,3280,1396,1102,727
  Median after-tax family income $,30649,38344,41777,33523,36442,44464,35984,33546,36883
  Average after-tax family income $,33694,45040,48458,36618,40936,49864,39208,37442,41751
  Standard error of average after-tax family income $,1464,1770,1873,1164,1039,2275,1166,928,571
Total economic families,4380,10640,13260,13790,27220,17835,16090,20465,103215
  Prevalence of low income before tax in 2005 %,27.1,9,14.7,22.2,17.2,6.7,19.3,21,15.6
  Prevalence of low income after tax in 2005 %,19.1,6.5,11.1,16.4,12.5,5.4,14.1,15.2,11.5
Couple economic families,3190,9230,11375,11270,22875,15740,13180,16375,86860
  Prevalence of low income before tax in 2005 %,22.6,6.6,13,18.8,14.2,5.3,16.4,17.6,12.9
  Prevalence of low income after tax in 2005 %,15.4,4.8,9.6,13,9.8,4.4,11.5,12.2,9.1
Male lone-parent economic families,145,265,270,345,670,350,460,605,2505
  Prevalence of low income before tax in 2005 %,24.1,15.1,18.5,23.2,27.6,7.1,27.2,25.6,21.5
  Prevalence of low income after tax in 2005 %,17.2,9.4,18.5,22.9,19.4,7.1,18.5,18.2,16.9
Female lone-parent economic families,885,995,1290,1820,2990,1450,1880,2765,11300
  Prevalence of low income before tax in 2005 %,45.8,29.6,27.1,42.3,37.5,21,38.6,41.1,35.1
  Prevalence of low income after tax in 2005 %,34.5,22.1,23.3,34.1,31.2,14.8,32.3,32.7,28.3
Composition of family income in 2005 for all economic families %,100.1,100,100,100,100,100,100,100,100
  Employment income %,79.7,84.3,84.5,81,81.8,74.8,81.4,81.1,80.6
  Government transfer payments %,15.3,7.2,9.2,10,11.1,6.9,12.2,12.7,9.6
  Other %,5,8.5,6.3,8.9,7.1,18.4,6.4,6.2,9.9
Composition of family income in 2005 for all couple economic families %,100,100,100,100,100,100,100,100,100
  Employment income %,81.3,84.6,84.8,82,82.4,74.7,82.3,82.1,81
  Government transfer payments %,13.3,6.7,8.8,8.9,10.5,6.6,11.3,11.6,8.9
  Other %,5.4,8.6,6.4,9.1,7.1,18.7,6.4,6.2,10.1
Composition of family income in 2005 for all male lone-parent economic families %,100,98.1,100,101.4,100,100,100,99.2,100
  Employment income %,76.4,88.1,87.9,84.6,82.5,87.2,80.5,79.7,84.3
  Government transfer payments %,22.2,9.9,9.6,9.4,12.3,4.8,11.9,14.3,10.1
  Other %,1.5,3.5,2.5,6.1,5.2,8.1,7.5,6.2,5.8
Composition of family income in 2005 for all female lone-parent economic families %,100,100,100,100,100,100,100,99.8,100
  Employment income %,70.6,78,81,69.7,76.3,72.9,71.4,71.2,74.6
  Government transfer payments %,25.5,13.9,12.6,22.6,18,11.9,21.5,22.6,17.6
  Other %,3.9,7.7,6.4,7.7,5.7,15.2,7,6.2,7.9
"Total number of non-farm, non-reserve private dwellings occupied by usual residents",7705,12890,15585,17810,33150,23605,20230,27935,130975
"  Tenant-occupied private non-farm, non-reserve dwellings",3825,1765,2640,5205,8855,3540,6640,10465,32475
    Average gross rent $,742,923,827,807,725,1121,742,742,806
  Tenant-occupied households spending 30% or more of household income on gross rent,1785,720,1025,2410,2765,1530,2385,4170,12620
    Tenant-occupied households spending from 30% to 99% of household income on gross rent,1515,620,830,2055,2360,1215,1910,3435,10505
"  Owner-occupied private non-farm, non-reserve dwellings",3885,11125,12950,12605,24290,20060,13590,17475,98500
    Average value of dwelling $,244823,441864,430886,401885,411784,593888,407290,371181,446307
    Average owner major payments $,954,1366,1367,1227,1368,1203,1280,1208,1288
  Owner households spending 30% or more of household income on owner's major payments,1210,2755,3700,3765,7585,3930,4385,5595,27330
    Owner households spending 30% to 99% of household income on owner's major payments,1020,2450,3170,3175,6625,3255,3740,4765,23445
"  Tenant one-family households without additional persons in non-farm, non-reserve private dwellings occupied by usual residents",1715,960,1460,2975,5280,1760,3545,5260,17700
    Average gross rent $,809,963,890,851,739,1106,783,792,835
  Tenant one-family households without additional persons spending 30% or more of household income on shelter costs,625,340,510,1295,1430,575,1105,1730,5875
"  Owner one-family households without additional persons in non-farm, non-reserve private dwellings occupied by usual residents",1930,8185,9175,8695,15030,14490,8260,10185,65765
    Average owner major payments $,1035,1402,1381,1260,1350,1326,1261,1218,1323
  Owner one-family households without additional persons spending 30% or more of household income on shelter costs,545,1870,2525,2475,4555,2630,2690,3235,17290
Total number of private households by household size,7710,12930,15590,17820,33165,23695,20230,27940,131135
  1 person,2970,2090,2165,3650,5480,5555,3685,6650,25595
  2 persons,2290,4065,4090,4975,8365,8945,4980,7265,37720
  3 persons,1080,2365,2690,2970,5460,3400,3325,4410,21295
  4 to 5 persons,1155,3760,5285,5190,9840,5235,5905,7055,36370
  6 or more persons,215,650,1355,1030,4010,565,2340,2550,10155
Number of persons in private households,17170,37695,50640,51645,109445,59815,65490,82660,391895
Average number of persons in private households,2.2,2.9,3.2,2.9,3.3,2.5,3.2,3,3
Total number of private households by household type,7705,12930,15590,17820,33165,23695,20230,27940,131140
  One-family households,4085,10035,11965,12810,23160,17235,13520,17605,92805
  Multiple-family households,195,495,1105,735,3725,390,2195,2385,8840
  Non-family households,3430,2405,2515,4275,6280,6070,4520,7945,29495
Household income in 2005 of private households,7705,12930,15590,17820,33160,23695,20230,27940,131140
"  Under $10,000",605,320,610,945,1345,670,1050,1660,5555
"  $10,000 to $19,999",1185,735,870,1555,2370,1610,1645,2830,9970
"  $20,000 to $29,999",955,775,1200,2020,2595,2025,1890,2840,11455
"  $30,000 to $39,999",1125,980,1580,2025,3305,2090,2100,3215,13190
"  $40,000 to $49,999",1085,1155,1285,1930,3385,1840,2195,3280,12870
"  $50,000 to $59,999",670,1110,1495,1690,3360,1805,2095,2765,12225
"  $60,000 to $69,999",640,1070,1315,1430,3255,1685,1920,2560,11310
"  $70,000 to $79,999",460,1130,1135,1080,2620,1565,1610,2065,9595
"  $80,000 to $89,999",285,1025,1135,880,2130,1230,1445,1730,8135
"  $90,000 to $99,999",280,880,970,760,1990,1295,960,1235,7135
"  $100,000 and over",435,3750,4005,3490,6805,7890,3325,3755,29700
Median household income $,39922,72956,65678,52062,60615,70762,55948,50305,60168
Average household income $,44965,81112,75618,65368,70703,96006,63597,58457,73552
Standard error of average household income $,727,1074,913,970,664,1624,696,552,419
Household income in 2005 of one-person private households,2975,2090,2165,3655,5480,5555,3685,6650,25595
"  Under $10,000",375,125,205,415,705,315,515,885,2655
"  $10,000 to $19,999",820,490,425,725,1250,1210,885,1705,5810
"  $20,000 to $29,999",430,305,420,675,785,1055,650,1075,4320
"  $30,000 to $39,999",460,320,390,565,805,965,500,965,4010
"  $40,000 to $49,999",375,300,180,460,640,555,470,850,2985
"  $50,000 to $59,999",215,180,245,280,475,480,215,430,2085
"  $60,000 to $69,999",145,175,125,225,360,310,225,365,1575
"  $70,000 to $79,999",75,45,85,85,145,210,75,150,720
"  $80,000 to $89,999",35,60,45,40,95,95,60,95,435
"  $90,000 to $99,999",15,15,10,50,90,40,30,50,250
"  $100,000 and over",30,60,25,125,135,310,55,90,745
Median household income $,27063,33360,30482,30094,30068,31751,25868,26320,30007
Average household income $,30771,38099,35050,38398,36144,41542,32124,31520,36502
Standard error of average household income $,801,1186,1021,2658,1027,1159,901,611,544
After-tax income in 2005 of private households,7705,12930,15590,17820,33165,23695,20235,27940,131140
"  Under $10,000",610,350,625,960,1370,740,1065,1675,5720
"  $10,000 to $19,999",1260,785,910,1660,2530,1765,1760,3020,10675
"  $20,000 to $29,999",1160,940,1450,2305,3100,2435,2140,3300,13535
"  $30,000 to $39,999",1465,1335,1735,2490,4065,2450,2605,4070,16135
"  $40,000 to $49,999",985,1325,1695,2230,3990,2275,2650,3635,15145
"  $50,000 to $59,999",745,1395,1745,1770,3985,2165,2355,3100,14160
"  $60,000 to $69,999",530,1365,1450,1345,3275,1895,1960,2495,11815
"  $70,000 to $79,999",340,1205,1365,1080,2680,1510,1590,1930,9770
"  $80,000 to $89,999",260,1095,1080,985,2125,1620,1120,1380,8285
"  $90,000 to $99,999",205,930,955,855,1630,1380,970,1175,6930
"  $100,000 and over",140,2210,2585,2135,4425,5455,2020,2160,18965
Median after-tax household income $,35594,62768,57879,46739,53523,60055,49733,45112,52926
Average after-tax household income $,39692,68034,64972,56301,61041,76437,55633,51235,62247
Standard error of average after-tax household income $,603,794,716,752,512,1080,549,440,301
After-tax income in 2005 of one-person private households,2970,2090,2160,3650,5485,5555,3685,6655,25595
"  Under $10,000",380,135,210,430,715,340,510,890,2715
"  $10,000 to $19,999",880,535,465,815,1390,1340,990,1865,6410
"  $20,000 to $29,999",575,415,575,820,1035,1335,790,1365,5550
"  $30,000 to $39,999",550,420,295,705,940,1050,620,1170,4580
"  $40,000 to $49,999",315,265,315,360,610,580,405,715,2835
"  $50,000 to $59,999",165,190,195,270,405,365,185,350,1780
"  $60,000 to $69,999",50,55,70,75,125,215,115,165,710
"  $70,000 to $79,999",35,30,25,55,140,75,30,65,380
"  $80,000 to $89,999",0,35,10,60,25,70,15,15,215
"  $90,000 to $99,999",20,10,0,15,15,75,10,25,140
"  $100,000 and over",10,15,10,40,70,110,25,25,280
Median after-tax household income $,24582,29284,26914,26651,26144,28069,23829,24037,26536
Average after-tax household income $,26753,32086,30169,32283,30376,33689,27525,27180,30659
Standard error of average after-tax household income $,627,876,786,1980,735,855,674,465,403
Total income in 2005 of persons 15 years and over not in economic families,3970,2915,3055,4920,7610,6605,5645,9610,34710
"  Under $1,000",220,140,185,275,490,180,475,695,1965
"  $1,000 to $2,999",10,60,30,80,115,60,55,65,415
"  $3,000 to $4,999",25,25,25,35,165,65,130,155,465
"  $5,000 to $6,999",130,30,55,105,165,65,135,265,690
"  $7,000 to $9,999",245,90,120,265,355,120,265,515,1465
"  $10,000 to $11,999",305,60,130,280,340,125,295,600,1530
"  $12,000 to $14,999",340,170,220,285,500,390,400,740,2305
"  $15,000 to $19,999",440,420,345,540,960,910,740,1175,4355
"  $20,000 to $24,999",280,220,330,455,590,600,605,890,3085
"  $25,000 to $29,999",285,165,230,390,495,640,380,660,2580
"  $30,000 to $34,999",340,270,260,420,635,610,405,745,2940
"  $35,000 to $39,999",315,230,215,320,445,495,300,615,2325
"  $40,000 to $44,999",305,245,90,330,465,400,300,600,2125
"  $45,000 to $49,999",160,140,165,215,380,255,360,520,1665
"  $50,000 to $59,999",250,225,300,330,560,550,290,535,2500
"  $60,000 and over",325,420,360,590,950,1140,515,835,4290
Median income $,24084,31225,27105,26573,26008,30857,22508,23078,26905
Average income $,28529,35056,32038,34174,32772,40143,28358,28429,33297
Standard error of average income $,677,988,855,2031,805,1004,681,487,424
Total income in 2005 of males 15 years and over not in economic families,2240,1245,1375,2515,3750,2455,3170,5405,16750
"  Under $1,000",145,50,115,155,290,75,305,445,1135
"  $1,000 to $2,999",10,15,25,40,55,40,20,20,195
"  $3,000 to $4,999",10,10,10,25,85,40,70,75,240
"  $5,000 to $6,999",65,20,15,55,75,20,65,130,320
"  $7,000 to $9,999",145,55,35,130,195,60,115,260,740
"  $10,000 to $11,999",215,25,50,155,155,70,160,375,835
"  $12,000 to $14,999",120,80,65,110,215,100,180,300,870
"  $15,000 to $19,999",210,120,85,195,295,245,285,490,1425
"  $20,000 to $24,999",135,50,160,190,240,175,335,470,1290
"  $25,000 to $29,999",150,80,85,240,205,185,195,350,1135
"  $30,000 to $34,999",210,90,160,225,260,170,250,465,1370
"  $35,000 to $39,999",180,120,80,165,235,160,180,355,1105
"  $40,000 to $44,999",155,100,60,175,310,165,155,305,1125
"  $45,000 to $49,999",90,70,75,115,205,105,235,320,890
"  $50,000 to $59,999",160,95,160,185,355,265,225,390,1450
"  $60,000 and over",245,265,205,355,575,575,400,640,2620
Median income $,27455,35853,30707,29319,31131,36161,26510,27006,30414
Average income $,30040,40882,35472,38670,36136,47953,31485,30887,36850
Standard error of average income $,971,1825,1383,3853,1254,2210,1019,718,777
Total income in 2005 of females 15 years and over not in economic families,1725,1670,1675,2405,3855,4150,2475,4200,17960
"  Under $1,000",75,90,75,120,200,100,165,245,825
"  $1,000 to $2,999",0,45,10,40,60,25,40,45,220
"  $3,000 to $4,999",15,15,15,10,80,30,65,80,230
"  $5,000 to $6,999",65,10,40,50,90,45,70,135,370
"  $7,000 to $9,999",100,40,90,130,160,65,150,250,725
"  $10,000 to $11,999",95,30,80,125,185,50,135,225,700
"  $12,000 to $14,999",220,95,155,175,285,290,220,445,1435
"  $15,000 to $19,999",225,300,260,350,670,670,455,685,2925
"  $20,000 to $24,999",140,170,170,265,350,420,275,420,1795
"  $25,000 to $29,999",130,90,145,150,290,455,185,315,1445
"  $30,000 to $34,999",130,180,105,195,375,440,155,280,1570
"  $35,000 to $39,999",135,110,135,160,210,335,125,260,1215
"  $40,000 to $44,999",150,140,30,150,155,235,145,290,1000
"  $45,000 to $49,999",70,70,90,95,175,155,125,195,780
"  $50,000 to $59,999",85,125,135,150,210,285,60,150,1045
"  $60,000 and over",80,155,150,235,375,555,115,195,1675
Median income $,21650,27424,23456,23269,22128,28696,19341,20045,24180
Average income $,26573,30703,29219,29477,29500,35530,24354,25266,29985
Standard error of average income $,914,1004,1037,955,998,872,830,617,379
Composition of income in 2005 for persons 15 years and over not in economic families %,100,100,99.8,100,100.1,100,99.9,100.1,100
  Employment income %,72.3,74.6,68.4,76.1,74.3,45,71.7,72,66.8
  Government transfer payments %,18.3,13,16.5,13.3,13.8,20.2,16.2,17.1,16.1
  Other %,9.4,12.4,15,10.7,12,34.8,12.1,11,17.1
Composition of income in 2005 for males 15 years and over not in economic families %,100,99.6,99.6,100,99.9,100.2,100,100,100
  Employment income %,75.4,81.8,79,83.2,84.6,57.9,77,76.3,76.4
  Government transfer payments %,15.8,8.5,9.7,9.4,8,12.9,12.3,13.7,10.8
  Other %,8.8,9.5,11.1,7.6,7.5,29.3,10.8,10,12.8
Composition of income in 2005 for females 15 years and over not in economic families %,100.3,100,100,100,100,100,100,100,100
  Employment income %,67.7,66.9,57.8,66.6,62.1,34.7,63.1,65.2,55.8
  Government transfer payments %,21.9,17.6,23.4,18.6,20.7,26,22.7,22.3,22.2
  Other %,10.2,15.3,19,14.8,17.3,39.2,14.2,12.5,22
After-tax income in 2005 of persons 15 years and over not in economic families,3965,2910,3055,4920,7610,6600,5645,9610,34710
"  Under $1,000",220,150,185,280,490,200,475,695,2000
"  $1,000 to $2,999",10,60,30,80,110,65,55,70,415
"  $3,000 to $4,999",30,25,25,35,165,70,130,160,475
"  $5,000 to $6,999",125,30,60,115,160,60,140,265,700
"  $7,000 to $9,999",255,95,120,265,365,120,260,515,1485
"  $10,000 to $11,999",320,50,140,280,360,130,295,615,1590
"  $12,000 to $14,999",350,195,220,340,535,400,425,770,2455
"  $15,000 to $19,999",500,460,385,610,1140,1045,880,1380,5015
"  $20,000 to $24,999",380,270,390,530,705,805,675,1055,3750
"  $25,000 to $29,999",390,300,355,515,685,755,475,860,3480
"  $30,000 to $34,999",445,335,250,445,625,675,460,905,3240
"  $35,000 to $39,999",285,245,155,415,595,540,385,665,2610
"  $40,000 to $44,999",200,185,210,245,470,365,345,545,2030
"  $45,000 to $49,999",170,155,160,180,285,315,225,395,1475
"  $50,000 and over",295,360,375,570,900,1060,420,715,3985
Median after-tax income $,22782,27655,24546,24056,23470,27560,20720,21223,24289
Average after-tax income $,24918,29667,27597,28942,27754,32824,24556,24706,28190
